"Col-0_ID"	"Accession"	"Accession_ID"
"AT3G13160"	"Col-0_ID"	"AT3G13160"
"AT1G06150"	"Col-0_ID"	"AT1G06150"
"AT5G39350"	"Col-0_ID"	"AT5G39350"
"AT3G46870"	"Col-0_ID"	"AT3G46870"
"AT5G43790"	"Col-0_ID"	"AT5G43790"
"AT3G56030"	"Col-0_ID"	"AT3G56030"
"AT4G13650"	"Col-0_ID"	"AT4G13650"
"AT2G29760"	"Col-0_ID"	"AT2G29760"
"AT4G28010"	"Col-0_ID"	"AT4G28010"
"AT3G03580"	"Col-0_ID"	"AT3G03580"
"AT5G18390"	"Col-0_ID"	"AT5G18390"
"AT3G14580"	"Col-0_ID"	"AT3G14580"
"AT2G35030"	"Col-0_ID"	"AT2G35030"
"AT1G71490"	"Col-0_ID"	"AT1G71490"
"AT1G06710"	"Col-0_ID"	"AT1G06710"
"AT5G15340"	"Col-0_ID"	"AT5G15340"
"AT1G33350"	"Col-0_ID"	"AT1G33350"
"AT5G14820"	"Col-0_ID"	"AT5G14820"
"AT3G51320"	"Col-0_ID"	"AT3G51320"
"AT5G39980"	"Col-0_ID"	"AT5G39980"
"AT3G23330"	"Col-0_ID"	"AT3G23330"
"AT3G22470"	"Col-0_ID"	"AT3G22470"
"AT1G18900"	"Col-0_ID"	"AT1G18900"
"AT4G18520"	"Col-0_ID"	"AT4G18520"
"AT1G64580"	"Col-0_ID"	"AT1G64580"
"AT5G13230"	"Col-0_ID"	"AT5G13230"
"AT1G05600"	"Col-0_ID"	"AT1G05600"
"AT5G50990"	"Col-0_ID"	"AT5G50990"
"AT1G11630"	"Col-0_ID"	"AT1G11630"
"AT3G46790"	"Col-0_ID"	"AT3G46790"
"AT2G32630"	"Col-0_ID"	"AT2G32630"
"AT2G20720"	"Col-0_ID"	"AT2G20720"
"AT5G09320"	"Col-0_ID"	"AT5G09320"
"AT1G52620"	"Col-0_ID"	"AT1G52620"
"AT4G37380"	"Col-0_ID"	"AT4G37380"
"AT5G15010"	"Col-0_ID"	"AT5G15010"
"AT5G40400"	"Col-0_ID"	"AT5G40400"
"AT5G08510"	"Col-0_ID"	"AT5G08510"
"AT1G02060"	"Col-0_ID"	"AT1G02060"
"AT3G04130"	"Col-0_ID"	"AT3G04130"
"AT5G19020"	"Col-0_ID"	"AT5G19020"
"AT1G68930"	"Col-0_ID"	"AT1G68930"
"AT5G14080"	"Col-0_ID"	"AT5G14080"
"AT3G26782"	"Col-0_ID"	"AT3G26782"
"AT3G23020"	"Col-0_ID"	"AT3G23020"
"AT3G18020"	"Col-0_ID"	"AT3G18020"
"AT2G28050"	"Col-0_ID"	"AT2G28050"
"AT2G02980"	"Col-0_ID"	"AT2G02980"
"AT1G74600"	"Col-0_ID"	"AT1G74600"
"AT1G69290"	"Col-0_ID"	"AT1G69290"
"AT5G28460"	"Col-0_ID"	"AT5G28460"
"AT5G28370"	"Col-0_ID"	"AT5G28370"
"AT3G61520"	"Col-0_ID"	"AT3G61520"
"AT3G14330"	"Col-0_ID"	"AT3G14330"
"AT2G27800"	"Col-0_ID"	"AT2G27800"
"AT2G22410"	"Col-0_ID"	"AT2G22410"
"AT1G28020"	"Col-0_ID"	"AT1G28020"
"AT1G68980"	"Col-0_ID"	"AT1G68980"
"AT1G15510"	"Col-0_ID"	"AT1G15510"
"AT1G11900"	"Col-0_ID"	"AT1G11900"
"AT3G42630"	"Col-0_ID"	"AT3G42630"
"AT4G32430"	"Col-0_ID"	"AT4G32430"
"AT3G11460"	"Col-0_ID"	"AT3G11460"
"AT3G50420"	"Col-0_ID"	"AT3G50420"
"AT3G49240"	"Col-0_ID"	"AT3G49240"
"AT1G62350"	"Col-0_ID"	"AT1G62350"
"AT1G64430"	"Col-0_ID"	"AT1G64430"
"AT3G24000"	"Col-0_ID"	"AT3G24000"
"AT2G17670"	"Col-0_ID"	"AT2G17670"
"AT1G28000"	"Col-0_ID"	"AT1G28000"
"AT5G66500"	"Col-0_ID"	"AT5G66500"
"AT5G16420"	"Col-0_ID"	"AT5G16420"
"AT5G39710"	"Col-0_ID"	"AT5G39710"
"AT2G06000"	"Col-0_ID"	"AT2G06000"
"AT1G16830"	"Col-0_ID"	"AT1G16830"
"AT5G65560"	"Col-0_ID"	"AT5G65560"
"AT1G15480"	"Col-0_ID"	"AT1G15480"
"AT3G18110"	"Col-0_ID"	"AT3G18110"
"AT3G63370"	"Col-0_ID"	"AT3G63370"
"AT4G32450"	"Col-0_ID"	"AT4G32450"
"AT4G35850"	"Col-0_ID"	"AT4G35850"
"AT1G05750"	"Col-0_ID"	"AT1G05750"
"AT4G38150"	"Col-0_ID"	"AT4G38150"
"AT4G01570"	"Col-0_ID"	"AT4G01570"
"AT1G76280"	"Col-0_ID"	"AT1G76280"
"AT1G26500"	"Col-0_ID"	"AT1G26500"
"AT1G08070"	"Col-0_ID"	"AT1G08070"
"AT3G12770"	"Col-0_ID"	"AT3G12770"
"AT4G04790"	"Col-0_ID"	"AT4G04790"
"AT3G09060"	"Col-0_ID"	"AT3G09060"
"AT4G25270"	"Col-0_ID"	"AT4G25270"
"AT1G17630"	"Col-0_ID"	"AT1G17630"
"AT5G37570"	"Col-0_ID"	"AT5G37570"
"AT3G15200"	"Col-0_ID"	"AT3G15200"
"AT3G09040"	"Col-0_ID"	"AT3G09040"
"AT2G16650"	"Col-0_ID"	"AT2G16650"
"AT5G27460"	"Col-0_ID"	"AT5G27460"
"AT4G16835"	"Col-0_ID"	"AT4G16835"
"AT3G48250"	"Col-0_ID"	"AT3G48250"
"AT2G01740"	"Col-0_ID"	"AT2G01740"
"AT1G77360"	"Col-0_ID"	"AT1G77360"
"AT2G22070"	"Col-0_ID"	"AT2G22070"
"AT1G79490"	"Col-0_ID"	"AT1G79490"
"AT4G21880"	"Col-0_ID"	"AT4G21880"
"AT2G45350"	"Col-0_ID"	"AT2G45350"
"AT5G36300"	"Col-0_ID"	"AT5G36300"
"AT4G18750"	"Col-0_ID"	"AT4G18750"
"AT3G05340"	"Col-0_ID"	"AT3G05340"
"AT4G21170"	"Col-0_ID"	"AT4G21170"
"AT2G36730"	"Col-0_ID"	"AT2G36730"
"AT2G33680"	"Col-0_ID"	"AT2G33680"
"AT4G16470"	"Col-0_ID"	"AT4G16470"
"AT3G26540"	"Col-0_ID"	"AT3G26540"
"AT3G01580"	"Col-0_ID"	"AT3G01580"
"AT1G20300"	"Col-0_ID"	"AT1G20300"
"AT1G09900"	"Col-0_ID"	"AT1G09900"
"AT3G62540"	"Col-0_ID"	"AT3G62540"
"AT3G62470"	"Col-0_ID"	"AT3G62470"
"AT2G16880"	"Col-0_ID"	"AT2G16880"
"AT5G02860"	"Col-0_ID"	"AT5G02860"
"AT4G02750"	"Col-0_ID"	"AT4G02750"
"AT5G27110"	"Col-0_ID"	"AT5G27110"
"AT3G60050"	"Col-0_ID"	"AT3G60050"
"AT5G64320"	"Col-0_ID"	"AT5G64320"
"AT5G24830"	"Col-0_ID"	"AT5G24830"
"AT5G08305"	"Col-0_ID"	"AT5G08305"
"AT5G04780"	"Col-0_ID"	"AT5G04780"
"AT1G04840"	"Col-0_ID"	"AT1G04840"
"AT1G19520"	"Col-0_ID"	"AT1G19520"
"AT4G19890"	"Col-0_ID"	"AT4G19890"
"AT5G27270"	"Col-0_ID"	"AT5G27270"
"AT4G26800"	"Col-0_ID"	"AT4G26800"
"AT5G61370"	"Col-0_ID"	"AT5G61370"
"AT5G18475"	"Col-0_ID"	"AT5G18475"
"AT3G18970"	"Col-0_ID"	"AT3G18970"
"AT3G04750"	"Col-0_ID"	"AT3G04750"
"AT2G38420"	"Col-0_ID"	"AT2G38420"
"AT1G77405"	"Col-0_ID"	"AT1G77405"
"AT1G77010"	"Col-0_ID"	"AT1G77010"
"AT2G04860"	"Col-0_ID"	"AT2G04860"
"AT5G61990"	"Col-0_ID"	"AT5G61990"
"AT4G33170"	"Col-0_ID"	"AT4G33170"
"AT1G20230"	"Col-0_ID"	"AT1G20230"
"AT2G34400"	"Col-0_ID"	"AT2G34400"
"AT3G16610"	"Col-0_ID"	"AT3G16610"
"AT3G07290"	"Col-0_ID"	"AT3G07290"
"AT3G17370"	"Col-0_ID"	"AT3G17370"
"AT5G28380"	"Col-0_ID"	"AT5G28380"
"AT5G28340"	"Col-0_ID"	"AT5G28340"
"AT5G08310"	"Col-0_ID"	"AT5G08310"
"AT1G02370"	"Col-0_ID"	"AT1G02370"
"AT1G30290"	"Col-0_ID"	"AT1G30290"
"AT1G79080"	"Col-0_ID"	"AT1G79080"
"AT1G11290"	"Col-0_ID"	"AT1G11290"
"AT4G21705"	"Col-0_ID"	"AT4G21705"
"AT5G15980"	"Col-0_ID"	"AT5G15980"
"AT1G56690"	"Col-0_ID"	"AT1G56690"
"AT5G62370"	"Col-0_ID"	"AT5G62370"
"AT4G33990"	"Col-0_ID"	"AT4G33990"
"AT3G61360"	"Col-0_ID"	"AT3G61360"
"AT3G02330"	"Col-0_ID"	"AT3G02330"
"AT1G13630"	"Col-0_ID"	"AT1G13630"
"AT5G15280"	"Col-0_ID"	"AT5G15280"
"AT1G19290"	"Col-0_ID"	"AT1G19290"
"AT5G14350"	"Col-0_ID"	"AT5G14350"
"AT3G25210"	"Col-0_ID"	"AT3G25210"
"AT1G31790"	"Col-0_ID"	"AT1G31790"
"AT5G44230"	"Col-0_ID"	"AT5G44230"
"AT2G17525"	"Col-0_ID"	"AT2G17525"
"AT2G17140"	"Col-0_ID"	"AT2G17140"
"AT1G29710"	"Col-0_ID"	"AT1G29710"
"AT2G15980"	"Col-0_ID"	"AT2G15980"
"AT1G18485"	"Col-0_ID"	"AT1G18485"
"AT1G71060"	"Col-0_ID"	"AT1G71060"
"AT1G55630"	"Col-0_ID"	"AT1G55630"
"AT1G64310"	"Col-0_ID"	"AT1G64310"
"AT3G49170"	"Col-0_ID"	"AT3G49170"
"AT5G47360"	"Col-0_ID"	"AT5G47360"
"AT5G46100"	"Col-0_ID"	"AT5G46100"
"AT5G12100"	"Col-0_ID"	"AT5G12100"
"AT3G49740"	"Col-0_ID"	"AT3G49740"
"AT3G47530"	"Col-0_ID"	"AT3G47530"
"AT1G51965"	"Col-0_ID"	"AT1G51965"
"AT1G09410"	"Col-0_ID"	"AT1G09410"
"AT1G13800"	"Col-0_ID"	"AT1G13800"
"AT1G80550"	"Col-0_ID"	"AT1G80550"
"AT3G20730"	"Col-0_ID"	"AT3G20730"
"AT3G13150"	"Col-0_ID"	"AT3G13150"
"AT4G01400"	"Col-0_ID"	"AT4G01400"
"AT3G62890"	"Col-0_ID"	"AT3G62890"
"AT1G05670"	"Col-0_ID"	"AT1G05670"
"AT1G80150"	"Col-0_ID"	"AT1G80150"
"AT1G07740"	"Col-0_ID"	"AT1G07740"
"AT5G38730"	"Col-0_ID"	"AT5G38730"
"AT4G01990"	"Col-0_ID"	"AT4G01990"
"AT3G60040"	"Col-0_ID"	"AT3G60040"
"AT3G58590"	"Col-0_ID"	"AT3G58590"
"AT1G25360"	"Col-0_ID"	"AT1G25360"
"AT1G06140"	"Col-0_ID"	"AT1G06140"
"AT3G54980"	"Col-0_ID"	"AT3G54980"
"AT5G47460"	"Col-0_ID"	"AT5G47460"
"AT4G18840"	"Col-0_ID"	"AT4G18840"
"AT3G56550"	"Col-0_ID"	"AT3G56550"
"AT3G49710"	"Col-0_ID"	"AT3G49710"
"AT3G15130"	"Col-0_ID"	"AT3G15130"
"AT2G42920"	"Col-0_ID"	"AT2G42920"
"AT2G03380"	"Col-0_ID"	"AT2G03380"
"AT2G02150"	"Col-0_ID"	"AT2G02150"
"AT1G71420"	"Col-0_ID"	"AT1G71420"
"AT1G32415"	"Col-0_ID"	"AT1G32415"
"AT1G26900"	"Col-0_ID"	"AT1G26900"
"AT1G22830"	"Col-0_ID"	"AT1G22830"
"AT5G46680"	"Col-0_ID"	"AT5G46680"
"AT4G21065"	"Col-0_ID"	"AT4G21065"
"AT4G20740"	"Col-0_ID"	"AT4G20740"
"AT4G14850"	"Col-0_ID"	"AT4G14850"
"AT2G03880"	"Col-0_ID"	"AT2G03880"
"AT1G80880"	"Col-0_ID"	"AT1G80880"
"AT5G06400"	"Col-0_ID"	"AT5G06400"
"AT3G28660"	"Col-0_ID"	"AT3G28660"
"AT2G40720"	"Col-0_ID"	"AT2G40720"
"AT2G01510"	"Col-0_ID"	"AT2G01510"
"AT1G52640"	"Col-0_ID"	"AT1G52640"
"AT4G11690"	"Col-0_ID"	"AT4G11690"
"AT5G66631"	"Col-0_ID"	"AT5G66631"
"AT5G65820"	"Col-0_ID"	"AT5G65820"
"AT5G61400"	"Col-0_ID"	"AT5G61400"
"AT5G59600"	"Col-0_ID"	"AT5G59600"
"AT5G59200"	"Col-0_ID"	"AT5G59200"
"AT5G56310"	"Col-0_ID"	"AT5G56310"
"AT5G52850"	"Col-0_ID"	"AT5G52850"
"AT5G52630"	"Col-0_ID"	"AT5G52630"
"AT5G50390"	"Col-0_ID"	"AT5G50390"
"AT5G46460"	"Col-0_ID"	"AT5G46460"
"AT5G43820"	"Col-0_ID"	"AT5G43820"
"AT5G42450"	"Col-0_ID"	"AT5G42450"
"AT5G40410"	"Col-0_ID"	"AT5G40410"
"AT5G40405"	"Col-0_ID"	"AT5G40405"
"AT5G39680"	"Col-0_ID"	"AT5G39680"
"AT5G18950"	"Col-0_ID"	"AT5G18950"
"AT5G16860"	"Col-0_ID"	"AT5G16860"
"AT5G15300"	"Col-0_ID"	"AT5G15300"
"AT5G11310"	"Col-0_ID"	"AT5G11310"
"AT5G09950"	"Col-0_ID"	"AT5G09950"
"AT5G08490"	"Col-0_ID"	"AT5G08490"
"AT5G06540"	"Col-0_ID"	"AT5G06540"
"AT5G03800"	"Col-0_ID"	"AT5G03800"
"AT4G39952"	"Col-0_ID"	"AT4G39952"
"AT4G39530"	"Col-0_ID"	"AT4G39530"
"AT4G38010"	"Col-0_ID"	"AT4G38010"
"AT4G37170"	"Col-0_ID"	"AT4G37170"
"AT4G36680"	"Col-0_ID"	"AT4G36680"
"AT4G35130"	"Col-0_ID"	"AT4G35130"
"AT4G31070"	"Col-0_ID"	"AT4G31070"
"AT4G30700"	"Col-0_ID"	"AT4G30700"
"AT4G21300"	"Col-0_ID"	"AT4G21300"
"AT4G20770"	"Col-0_ID"	"AT4G20770"
"AT4G19220"	"Col-0_ID"	"AT4G19220"
"AT4G19191"	"Col-0_ID"	"AT4G19191"
"AT4G15720"	"Col-0_ID"	"AT4G15720"
"AT4G14820"	"Col-0_ID"	"AT4G14820"
"AT4G14170"	"Col-0_ID"	"AT4G14170"
"AT4G08210"	"Col-0_ID"	"AT4G08210"
"AT4G04370"	"Col-0_ID"	"AT4G04370"
"AT3G61170"	"Col-0_ID"	"AT3G61170"
"AT3G57430"	"Col-0_ID"	"AT3G57430"
"AT3G53360"	"Col-0_ID"	"AT3G53360"
"AT3G47840"	"Col-0_ID"	"AT3G47840"
"AT3G28640"	"Col-0_ID"	"AT3G28640"
"AT3G25970"	"Col-0_ID"	"AT3G25970"
"AT3G25060"	"Col-0_ID"	"AT3G25060"
"AT3G22670"	"Col-0_ID"	"AT3G22670"
"AT3G21470"	"Col-0_ID"	"AT3G21470"
"AT3G18840"	"Col-0_ID"	"AT3G18840"
"AT3G16890"	"Col-0_ID"	"AT3G16890"
"AT3G15930"	"Col-0_ID"	"AT3G15930"
"AT3G13880"	"Col-0_ID"	"AT3G13880"
"AT3G13770"	"Col-0_ID"	"AT3G13770"
"AT3G11380"	"Col-0_ID"	"AT3G11380"
"AT3G08820"	"Col-0_ID"	"AT3G08820"
"AT3G05240"	"Col-0_ID"	"AT3G05240"
"AT3G02010"	"Col-0_ID"	"AT3G02010"
"AT2G48000"	"Col-0_ID"	"AT2G48000"
"AT2G46050"	"Col-0_ID"	"AT2G46050"
"AT2G44880"	"Col-0_ID"	"AT2G44880"
"AT2G39620"	"Col-0_ID"	"AT2G39620"
"AT2G39230"	"Col-0_ID"	"AT2G39230"
"AT2G37320"	"Col-0_ID"	"AT2G37320"
"AT2G36980"	"Col-0_ID"	"AT2G36980"
"AT2G34370"	"Col-0_ID"	"AT2G34370"
"AT2G33760"	"Col-0_ID"	"AT2G33760"
"AT2G27610"	"Col-0_ID"	"AT2G27610"
"AT2G25580"	"Col-0_ID"	"AT2G25580"
"AT2G21090"	"Col-0_ID"	"AT2G21090"
"AT2G20540"	"Col-0_ID"	"AT2G20540"
"AT2G17210"	"Col-0_ID"	"AT2G17210"
"AT2G15630"	"Col-0_ID"	"AT2G15630"
"AT2G01390"	"Col-0_ID"	"AT2G01390"
"AT2G01360"	"Col-0_ID"	"AT2G01360"
"AT1G77340"	"Col-0_ID"	"AT1G77340"
"AT1G77170"	"Col-0_ID"	"AT1G77170"
"AT1G77150"	"Col-0_ID"	"AT1G77150"
"AT1G74630"	"Col-0_ID"	"AT1G74630"
"AT1G74580"	"Col-0_ID"	"AT1G74580"
"AT1G74400"	"Col-0_ID"	"AT1G74400"
"AT1G73400"	"Col-0_ID"	"AT1G73400"
"AT1G71460"	"Col-0_ID"	"AT1G71460"
"AT1G62260"	"Col-0_ID"	"AT1G62260"
"AT1G53600"	"Col-0_ID"	"AT1G53600"
"AT1G53330"	"Col-0_ID"	"AT1G53330"
"AT1G43980"	"Col-0_ID"	"AT1G43980"
"AT1G43010"	"Col-0_ID"	"AT1G43010"
"AT1G34160"	"Col-0_ID"	"AT1G34160"
"AT1G31840"	"Col-0_ID"	"AT1G31840"
"AT1G31430"	"Col-0_ID"	"AT1G31430"
"AT1G28690"	"Col-0_ID"	"AT1G28690"
"AT1G14470"	"Col-0_ID"	"AT1G14470"
"AT1G13040"	"Col-0_ID"	"AT1G13040"
"AT1G10330"	"Col-0_ID"	"AT1G10330"
"AT1G09680"	"Col-0_ID"	"AT1G09680"
"AT1G09220"	"Col-0_ID"	"AT1G09220"
"AT1G09190"	"Col-0_ID"	"AT1G09190"
"AT1G06270"	"Col-0_ID"	"AT1G06270"
"AT1G03560"	"Col-0_ID"	"AT1G03560"
"AT1G03540"	"Col-0_ID"	"AT1G03540"
"AT1G03510"	"Col-0_ID"	"AT1G03510"
"AT1G03100"	"Col-0_ID"	"AT1G03100"
"AT1G02420"	"Col-0_ID"	"AT1G02420"
"AT3G11350"	"Col-0_ID"	"AT3G11350"
"AT5G03560"	"Col-0_ID"	"AT5G03560"
"AT3G60980"	"Col-0_ID"	"AT3G60980"
"AT1G63080"	"An-1_ID"	"ATAN-1G80360"
"AT1G63130"	"An-1_ID"	"ATAN-1G80420"
"AT1G63400"	"An-1_ID"	"ATAN-1G79760"
"AT1G62910"	"An-1_ID"	"ATAN-1G80660"
"AT1G62914"	"An-1_ID"	"ATAN-1G80130"
"AT1G62930"	"An-1_ID"	"ATAN-1G80160"
"AT1G63150"	"An-1_ID"	"ATAN-1G80440"
"AT1G63070"	"An-1_ID"	"ATAN-1G80360"
"AT1G62590"	"An-1_ID"	"ATAN-1G79840"
"AT1G63330"	"An-1_ID"	"ATAN-1G79840"
"AT1G62670"	"An-1_ID"	"ATAN-1G79890"
"AT1G63630"	"An-1_ID"	"ATAN-1G80900"
"AT1G12775"	"An-1_ID"	"ATAN-1G23300"
"AT1G63320"	"An-1_ID"	"ATAN-1G80650"
"AT2G02750"	"An-1_ID"	"ATAN-2G12340"
"AT5G16640"	"An-1_ID"	"ATAN-5G26670"
"AT1G63230"	"An-1_ID"	"ATAN-1G80540"
"AT1G12300"	"An-1_ID"	"ATAN-1G22800"
"AT1G12620"	"An-1_ID"	"ATAN-1G23120"
"AT1G64583"	"An-1_ID"	"ATAN-1G82030"
"AT1G06580"	"An-1_ID"	"ATAN-1G16260"
