ID	Pi	Tajima.D	theta_Watterson	Distance
AT1G01600	0.000952381	-0.009877846	0.009641873	0.000825826
AT1G01610	0.001642857	-0.008577367	0.012341598	0.001426091
AT1G01620	0.001176471	-0.021096382	0.007713499	0.00101626
AT1G01630	0.001333333	-0.021096382	0.007713499	0.001139323
AT1G01640	0.000833333	-0.021096382	0.007713499	0.000701122
AT1G01650	0.00015625	-0.021096382	0.007713499	0.000134781
AT1G01660	0.001722689	-0.019145768	0.009427609	0.001501172
AT1G01670	0.0025	-0.021560515	0.008414726	0.00239071
AT1G01680	0.004166667	-0.007292559	0.009427609	0.003539644
AT1G01690	0.004074074	-0.024481539	0.014141414	0.003564815
AT1G01695	0.003791209	-0.009732049	0.009641873	0.003648477
AT1G01700	0.001809524	-0.012241833	0.009917355	0.001778978
AT1G01710	0.001685714	0.005559409	0.007713499	0.001435942
AT1G01715	0.001904762	0.003354102	0.008163265	0.001749271
AT1G01720	0.001218487	-0.001435954	0.011570248	0.001293103
AT1G01725	0.001666667	-0.021096382	0.007713499	0.001157407
AT1G01730	0.003461538	-0.002161143	0.009256198	0.002916667
AT1G01740	0.000517241	-0.021096382	0.007713499	0.000451963
AT1G01750	0.000625	-0.021096382	0.007713499	0.000517139
AT1G01760	0.007472527	0.00470094	0.025344353	0.007928336
AT1G01770	0.000694981	-0.009989802	0.007713499	0.000840585
AT1G01780	0.000714286	0.006670067	0.007713499	0.000606796
AT1G01790	0.001277666	0.018393679	0.007713499	0.00110797
AT1G01800	0.001111111	-0.022798203	0.010284665	0.00098536
AT1G01810	0	NA	NA	0
AT1G01820	0.000714286	-0.026201845	0.015426997	0.000617938
AT1G01830	0.001722689	0.015046356	0.011570248	0.001485507
AT1G01840	0.001825397	0.003893422	0.007713499	0.001565904
AT1G01860	0.006357143	-0.001378235	0.044352617	0.007347561
AT1G01880	0.000515873	-0.011840899	0.007713499	0.000451389
AT1G01900	0.001257764	0.004162456	0.008999082	0.001224601
AT1G01910	0.000986395	-0.006287609	0.007713499	0.000853343
AT1G01920	0.00105042	-0.017979387	0.011570248	0.000950426
AT1G01930	0.001890756	0.005147388	0.008815427	0.001613597
AT1G01940	0	NA	NA	0
AT1G01950	0.000912698	0.000293447	0.009256198	0.000803073
AT1G01960	0.000931973	0.003430648	0.007713499	0.00081501
AT1G01970	0.000654762	0.001116777	0.007713499	0.000558943
AT1G01980	0.002723214	-0.00165891	0.010606061	0.002344711
AT1G01990	0.002295918	-0.011120371	0.009641873	0.001905488
AT1G02000	0.001236264	0.0025051	0.007713499	0.001077586
AT1G02010	0.00085034	-0.013691996	0.007713499	0.00077275
AT1G02020	0.005037594	-0.002652198	0.014240305	0.004757218
AT1G02030	0.001473214	-0.01415477	0.007713499	0.001282649
AT1G02040	0.000263158	-0.021096382	0.007713499	0.000300069
AT1G02050	0.000496894	0.028883227	0.007713499	0.000420875
AT1G02060	0.001428571	-0.001659868	0.007713499	0.001292467
AT1G02065	0.00125	-0.021096382	0.007713499	0.001091567
AT1G02067	0.020821429	-0.029858552	0.048654376	0.084189498
AT1G02070	0	NA	NA	0
AT1G02080	0.001206897	-0.012255771	0.008639118	0.001073206
AT1G02090	0.001380952	-0.006287609	0.007713499	0.001157407
AT1G02100	0.002218045	0.006737634	0.009641873	0.001845596
AT1G02110	0.001428571	-0.008138706	0.007713499	0.001242898
AT1G02120	0.000676692	-0.009989802	0.007713499	0.00065331
AT1G02130	0.000333333	-0.021096382	0.007713499	0.000357435
AT1G02140	0.001111111	-0.021096382	0.007713499	0.000965784
AT1G02145	0.001280788	0.012223357	0.007713499	0.001087684
AT1G02150	0.001589862	-0.008577367	0.012341598	0.001369048
AT1G02160	0.001	-0.021096382	0.007713499	0.001127577
AT1G02170	0.003798701	-0.010680003	0.012534435	0.003311821
AT1G02180	0.009285714	0.007302166	0.014325069	0.009852217
AT1G02190	0.002934363	-0.021466834	0.010123967	0.002654247
AT1G02205	0.002779923	-0.004963047	0.010518407	0.002396166
AT1G02210	0.014857143	-0.015220545	0.02244898	0.015998359
AT1G02220	0.026459627	0.020032318	0.024683196	0.024367089
AT1G02230	0.014557823	0.002915217	0.017695673	0.01332635
AT1G02250	0.000714286	-0.021096382	0.007713499	0.000647189
AT1G02260	0.007428571	0.000583828	0.013980716	0.0065
AT1G02270	0.00820197	0.010325167	0.013016529	0.007431271
AT1G02280	0	NA	NA	0
AT1G02290	0.000576923	-0.021096382	0.007713499	0.00049268
AT1G02300	0.042329193	0.001552969	0.041250449	0.040717937
AT1G02305	0.006598639	-0.023342013	0.014876033	0.005567034
AT1G02310	0.007657143	-0.018566269	0.015426997	0.006952872
AT1G02320	0	NA	NA	0
AT1G02330	0.005	-0.025685222	0.017630854	0.004427083
AT1G02335	0.005659341	0.000986334	0.017355372	0.007249437
AT1G02340	0.003412698	-0.006921639	0.011570248	0.003132284
AT1G02350	0.033888889	0.003093068	0.069421488	0.036417323
AT1G02360	0.050285714	-0.034790329	0.090747043	0.053921569
AT1G02370	0.004242424	-0.024420747	0.013498623	0.004065985
AT1G02380	0.004285714	-0.012637571	0.008677686	0.003502155
AT1G02390	0.001682028	-0.002056531	0.007713499	0.001432046
AT1G02400	0.000789474	-0.023649113	0.011570248	0.000662879
AT1G02405	0.003214286	-0.009989802	0.007713499	0.003151261
AT1G02410	0.000882353	-0.021096382	0.007713499	0.000759549
AT1G02420	0.001330049	-0.01907345	0.008999082	0.001143293
AT1G02430	0.001558442	0.006670067	0.007713499	0.001308901
AT1G02440	0.003181818	0.00805839	0.007713499	0.002672339
AT1G02450	0	NA	NA	0
AT1G02460	0.003546798	-0.016599613	0.010927456	0.003196985
AT1G02470	0.000769231	-0.021096382	0.007713499	0.000659879
AT1G02475	0.001593407	-0.009854669	0.011570248	0.00218901
AT1G02490	0.0025	-0.021096382	0.007713499	0.003941441
AT1G02500	0.012080745	0.013503414	0.014065792	0.010284475
AT1G02510	0.005630252	0.014084754	0.008570554	0.005665205
AT1G02520	0.004575045	0.005254653	0.010365014	0.004121058
AT1G02530	0.005526316	0.015859324	0.013267218	0.004974757
AT1G02540	0.005272109	0.002549919	0.010027548	0.005567529
AT1G02550	0.003826531	0.024741436	0.009641873	0.003215021
AT1G02560	0	NA	NA	0
AT1G02570	0.001294643	-0.006287609	0.007713499	0.001082736
AT1G02575	0.001160714	-0.011840899	0.007713499	0.001240975
AT1G02580	0.001616541	-0.006391878	0.00835629	0.001955968
AT1G02590	0.001044643	0.026419115	0.015426997	0.022995283
AT1G02610	0.002032967	0.012358491	0.011570248	0.002299174
AT1G02620	0.032402597	0.009253928	0.05399449	0.053915895
AT1G02630	0.000434783	-0.021096382	0.007713499	0.000560897
AT1G02640	0.001661491	-0.00054921	0.007713499	0.001449393
AT1G02650	0.007738095	0.004315351	0.012534435	0.006586414
AT1G02660	0.002789116	-0.003461272	0.009493537	0.002392624
AT1G02670	0.00122449	-0.002849858	0.007713499	0.001210328
AT1G02680	0	NA	NA	0
AT1G02690	0.001763393	0.012459897	0.011570248	0.001526747
AT1G02700	0	NA	NA	0
AT1G02705	0.059785714	-0.030003766	0.089476584	0.113894628
AT1G02710	0.011666667	0.000738199	0.012341598	0.010524055
AT1G02720	0.004251701	-0.004821151	0.009256198	0.003596915
AT1G02730	0.003795918	-0.011915542	0.012958678	0.003340031
AT1G02740	0.001090226	-0.006287609	0.007713499	0.000920986
AT1G02750	0.014142857	-0.013872679	0.030853994	0.027378319
AT1G02770	0.007368421	0.000855983	0.013112948	0.007665832
AT1G02780	0.006607143	0.009480496	0.008677686	0.005377907
AT1G02790	0.001657143	-0.006287609	0.007713499	0.00142829
AT1G02800	0.00102381	-0.012211118	0.007713499	0.000892264
AT1G02810	0.001197479	-0.014542906	0.008999082	0.001023707
AT1G02813	0.002063492	-0.011840899	0.007713499	0.001805556
AT1G02816	0.004714286	0.000328959	0.009256198	0.004116766
AT1G02820	0.001714286	0.006670067	0.007713499	0.001358696
AT1G02830	0.018265306	-0.001354041	0.018732782	0.016650262
AT1G02840	0.001954887	-0.011840899	0.007713499	0.001781798
AT1G02850	0.000760369	-0.01415477	0.007713499	0.00072983
AT1G02860	5.00E-04	-0.021096382	0.007713499	0.000434028
AT1G02870	0.000909091	-0.021096382	0.007713499	0.000751718
AT1G02880	0.0015625	-0.023714349	0.012855831	0.001360386
AT1G02890	0.001959459	0.001845492	0.009917355	0.001695736
AT1G02900	0	NA	NA	0
AT1G02910	0.000820106	-0.002585416	0.007713499	0.00071127
AT1G02920	0.000892857	0.023329937	0.007713499	0.001488095
AT1G02930	0.000833333	-0.021096382	0.007713499	0.000697767
AT1G02940	0.010267857	-0.011504604	0.017530679	0.008939677
AT1G02950	0.001619048	0.002967874	0.007713499	0.001451503
AT1G02960	0.001744505	0.003412911	0.012121212	0.00280279
AT1G02965	0.006031746	0.028076175	0.012855831	0.006136951
AT1G02970	0.002238095	0.00591535	0.008815427	0.001954424
AT1G02980	0.001883117	0.003679734	0.008570554	0.00162629
AT1G02990	0.00162594	-0.015903964	0.010123967	0.001408978
AT1G03000	0.000854592	-0.006816494	0.007713499	0.000740888
AT1G03010	0.000263158	-0.021096382	0.007713499	0.000229659
AT1G03020	0	NA	NA	0
AT1G03030	0.001150794	-0.006287609	0.007713499	0.001010312
AT1G03040	0.00025	-0.021096382	0.007713499	0.000240649
AT1G03050	0.001904762	-0.009673395	0.011019284	0.001666667
AT1G03055	0.018973214	-0.009044297	0.068135904	0.023326326
AT1G03060	0.00046627	-0.011031044	0.007713499	0.000497207
AT1G03070	0.002295918	-0.009989802	0.007713499	0.001890121
AT1G03080	0.000940934	-0.00482924	0.008306845	0.000823001
AT1G03090	0.000909091	0.002227435	0.007713499	0.001218821
AT1G03100	0.000653495	-0.015475525	0.009641873	0.000564127
AT1G03103	0.001	-0.021096382	0.007713499	0.000847868
AT1G03106	0.00375	-0.021096382	0.007713499	0.003331218
AT1G03110	0.001285714	-0.009989802	0.007713499	0.00109521
AT1G03120	0.001071429	0.023329937	0.007713499	0.001252277
AT1G03130	0.000416667	-0.021096382	0.007713499	0.000355691
AT1G03140	0.001085714	-0.007213157	0.007713499	0.000940222
AT1G03150	0.001	-0.021096382	0.007713499	0.000833333
AT1G03160	0.001970899	0.008188616	0.010284665	0.001699982
AT1G03165	0.001428571	-0.020124612	0.008163265	0.001218398
AT1G03170	0.003622449	0.018135807	0.009641873	0.003068811
AT1G03180	0.000333333	-0.021096382	0.007713499	0.000274123
AT1G03190	0.001339286	-0.012123605	0.016969697	0.001331247
AT1G03200	0	NA	NA	0.019886364
AT1G03210	0.001428571	-0.009989802	0.007713499	0.00130662
AT1G03220	0.001318681	-0.006657829	0.007713499	0.001152074
AT1G03230	0.024752747	-0.024053711	0.03530409	0.021937404
AT1G03240	0	NA	NA	0.014914773
AT1G03250	0.000666667	-0.021096382	0.007713499	0.000592818
AT1G03260	0.000789474	-0.021096382	0.007713499	0.000795455
AT1G03270	0.000833333	-0.022372748	0.009641873	0.000729167
AT1G03280	0.001175115	-0.003325855	0.007713499	0.001106771
AT1G03290	0.001071429	-0.003325855	0.007713499	0.000928759
AT1G03300	0.00195122	-0.003426823	0.007713499	0.004142012
AT1G03310	0.000508242	-0.00860148	0.007713499	0.000436485
AT1G03320	0.001153846	-0.023649113	0.011570248	0.00103673
AT1G03325	0.013076923	-0.029696536	0.032782369	0.059027778
AT1G03330	0	NA	NA	0
AT1G03340	0.001086957	-0.022372748	0.009641873	0.000944516
AT1G03350	0.000535714	-0.021096382	0.007713499	0.000464437
AT1G03360	0.000263158	-0.021096382	0.007713499	0.000227627
AT1G03365	0.000860058	-0.005362061	0.007713499	0.000745854
AT1G03370	0.000245902	-0.023649113	0.011570248	0.000214251
AT1G03380	0.000238095	-0.007213157	0.007713499	0.000206163
AT1G03390	0.000555556	-0.023649113	0.011570248	0.000473485
AT1G03395	0.007592593	-0.026151678	0.01976584	0.055989583
AT1G03400	0.018975155	-0.027113433	0.055280073	0.018081203
AT1G03410	0.017826087	-0.032952941	0.057500626	0.033816425
AT1G03430	0.006666667	-0.035399826	0.092561983	0.011837121
AT1G03440	0.000931677	-0.004436513	0.007713499	0.000785176
AT1G03445	0.000638298	-0.021096382	0.007713499	0.000642842
AT1G03457	0.008681319	0.011464184	0.012855831	0.007515221
AT1G03470	0.002098214	-0.019338349	0.011570248	0.002633648
AT1G03475	0.000652174	-0.021096382	0.007713499	0.000565245
AT1G03490	0.007478992	0.005406796	0.02892562	0.008718796
AT1G03495	0.003290816	-0.021941951	0.014569942	0.003876202
AT1G03510	0.001028571	-0.009989802	0.007713499	0.000872093
AT1G03520	0.000769231	-0.021096382	0.007713499	0.000651042
AT1G03530	0.00078869	0.013611679	0.007713499	0.000705989
AT1G03540	0.000972222	-0.021096382	0.007713499	0.000836749
AT1G03550	0.000294118	-0.021096382	0.007713499	0.000256749
AT1G03560	0.001062271	-0.013617358	0.008999082	0.000914019
AT1G03590	0.001243386	0.005281745	0.007713499	0.001057415
AT1G03600	0.003071429	-0.011266168	0.009641873	0.002559524
AT1G03610	0.001150794	-0.006287609	0.007713499	0.000977616
AT1G03620	0.000588235	-0.026201845	0.015426997	0.000548246
AT1G03630	0.000208333	-0.021096382	0.007713499	0.000181385
AT1G03650	0.000555556	-0.021096382	0.007713499	0.001572327
AT1G03660	0.002	-0.021096382	0.007713499	0.002700617
AT1G03670	0.008243243	-0.004740326	0.015812672	0.008812541
AT1G03680	0.001571429	0.001116777	0.007713499	0.001273148
AT1G03687	0.022484472	0.008051776	0.036463812	0.024211218
AT1G03700	0.002857143	-0.013601907	0.010284665	0.002272727
AT1G03710	0.006666667	-0.024296798	0.028571429	0.010884354
AT1G03720	0.00605042	-0.030167502	0.073469388	0.016491445
AT1G03730	0	NA	NA	0
AT1G03740	0.001314935	-0.009989802	0.007713499	0.001245471
AT1G03750	0.000782967	-0.017620789	0.010798898	0.000688007
AT1G03760	0.000900621	-0.006287609	0.007713499	0.000770621
AT1G03770	0.000739796	-0.006287609	0.007713499	0.000652448
AT1G03780	0.001337386	-0.005728591	0.009917355	0.001207729
AT1G03790	0.003291925	-0.020343535	0.011998776	0.002802453
AT1G03800	0.000714286	-0.021096382	0.007713499	0.000592818
AT1G03810	0	NA	NA	0
AT1G03820	0	NA	NA	0
AT1G03830	0.00077381	-0.014848931	0.007713499	0.000667735
AT1G03840	0.000333333	-0.021096382	0.007713499	0.00028764
AT1G03850	0.011746032	0.019996294	0.046280992	0.013372093
AT1G03860	0	NA	NA	0
AT1G03870	0.00122449	0.008284267	0.015426997	0.001008065
AT1G03880	0	NA	NA	0
AT1G03890	0.00042328	0.028883227	0.007713499	0.000368732
AT1G03900	0	NA	NA	0
AT1G03905	0	NA	NA	0
AT1G03910	0.000348837	-0.021096382	0.007713499	0.000325037
AT1G03920	0.001197479	0.019658646	0.010284665	0.001041667
AT1G03930	0.002831633	0.008954326	0.008677686	0.002604167
AT1G03940	0.008571429	-0.00024882	0.014065792	0.007829134
AT1G03950	0.000714286	0.006670067	0.007713499	0.000592417
AT1G03960	0.000806452	0.009962219	0.011570248	0.000687893
AT1G03970	0	NA	NA	0
AT1G03980	0.001071429	0.017776647	0.007713499	0.000965784
AT1G03982	0.003116883	-0.006657829	0.007713499	0.00304878
AT1G03990	0.000936508	-0.013163111	0.007713499	0.000809728
AT1G04000	0.00531746	0.001439617	0.009256198	0.004561547
AT1G04010	0.000488722	-0.011840899	0.007713499	0.000427182
AT1G04020	0.001411565	-0.012971185	0.011019284	0.001313025
AT1G04030	0.000961538	-0.021096382	0.007713499	0.000838123
AT1G04040	0.000625	-0.021096382	0.007713499	0.000536152
AT1G04050	0.002743506	-0.005791759	0.008741965	0.002623572
AT1G04070	0	NA	NA	0
AT1G04080	0.001239067	0.018484911	0.009256198	0.001151387
AT1G04090	0.002352941	-0.002505628	0.009427609	0.002036067
AT1G04100	0.00247619	-0.011010895	0.009256198	0.00206743
AT1G04105	0.0446875	-0.033183888	0.073535354	0.083829365
AT1G04110	0.000900621	-0.007714433	0.009256198	0.00087253
AT1G04120	0.000230159	-0.006287609	0.007713499	0.000199395
AT1G04130	0.002687075	0.000487083	0.013498623	0.002309401
AT1G04140	0.001094225	-0.00241358	0.008999082	0.000951374
AT1G04150	0.00072619	-0.003510964	0.007713499	0.000627262
AT1G04160	0.003944444	0.001812011	0.009982175	0.003532367
AT1G04170	0.004656085	0.004348181	0.010518407	0.003934192
AT1G04180	0.002228571	-0.012637571	0.008677686	0.001925355
AT1G04190	0.002518797	0.003944592	0.023140496	0.002121327
AT1G04200	0.002026578	0.003857099	0.012121212	0.001733743
AT1G04210	0.001082251	-0.004321955	0.008570554	0.000935909
AT1G04220	0.001520737	-0.013892463	0.008815427	0.001535917
AT1G04230	0.001390977	0.008521164	0.007713499	0.001185897
AT1G04240	0.000294118	-0.021096382	0.007713499	0.000383772
AT1G04250	0.000384615	-0.021096382	0.007713499	0.000317029
AT1G04260	0.001	-0.021096382	0.007713499	0.001650729
AT1G04270	0.001785714	-0.022372748	0.009641873	0.002859477
AT1G04280	0.00375	0.001369653	0.009641873	0.003277154
AT1G04290	0.003888889	0.00805839	0.007713499	0.003271902
AT1G04300	0.001186813	-0.018595631	0.00981718	0.001046512
AT1G04310	0.005620301	0.021185283	0.016198347	0.004828811
AT1G04330	0.009285714	-0.012258835	0.013884298	0.008044554
AT1G04340	0.001825397	0.003893422	0.007713499	0.001497396
AT1G04350	0.000714286	-0.021096382	0.007713499	0.000807941
AT1G04360	0.002305195	0.003356635	0.009256198	0.002345113
AT1G04370	0.000384615	-0.021096382	0.007713499	0.001710199
AT1G04380	0.010678571	0.00201111	0.013884298	0.010101351
AT1G04390	0.006202381	0.004629585	0.010847107	0.006384804
AT1G04400	0.009940476	0.005590749	0.017456865	0.008950491
AT1G04410	0.005488722	0.002653377	0.010027548	0.005317818
AT1G04420	0.006339286	0.001759607	0.011273575	0.005750605
AT1G04430	0.00027027	-0.021096382	0.007713499	0.000233707
AT1G04440	0.001505102	0.005559409	0.007713499	0.001687989
AT1G04445	0.002357143	-0.01415477	0.007713499	0.001986994
AT1G04450	0.001208791	0.001116777	0.007713499	0.001036953
AT1G04455	0.135238095	0.011354341	0.121701867	0.166794479
AT1G04470	0.001013825	-0.005670577	0.007713499	0.000884813
AT1G04480	0	NA	NA	0
AT1G04490	0.001547619	-0.009176633	0.011570248	0.00134743
AT1G04500	0.00257764	-0.012971185	0.011019284	0.002234065
AT1G04510	0.002142857	-0.008641181	0.008570554	0.001987913
AT1G04520	0	NA	NA	0.001499077
AT1G04530	0.006150794	-0.004183771	0.01446281	0.005496743
AT1G04540	0.006329365	-0.004218402	0.012341598	0.005519795
AT1G04550	0.001071429	-0.023649113	0.011570248	0.000911458
AT1G04555	0	NA	NA	0
AT1G04560	0.007272727	0.017807549	0.010284665	0.006238859
AT1G04570	0.002991071	0.013634856	0.009641873	0.003231096
AT1G04580	0.002946429	0.005751168	0.010413223	0.002569133
AT1G04590	0.007484472	0.028659539	0.017630854	0.006816183
AT1G04600	0.001868132	-0.004090005	0.009115953	0.001645374
AT1G04610	0.001318681	0.006670067	0.007713499	0.001141553
AT1G04620	0.002142857	-0.009170327	0.012341598	0.001913265
AT1G04625	0.0375	-0.011989238	0.0584	0.035091678
AT1G04630	0.045178571	0.00815208	0.041460055	0.040943287
AT1G04635	0.002936508	0.008521164	0.007713499	0.002535636
AT1G04640	0.001071429	-0.021096382	0.007713499	0.000926907
AT1G04645	0	NA	NA	0
AT1G04650	0.001476998	-0.003010135	0.016969697	0.00127338
AT1G04660	0.0075	-0.026174118	0.017355372	0.006161972
AT1G04670	0.006428571	-0.023256276	0.011570248	0.006315617
AT1G04680	0.005057143	0.02374463	0.011570248	0.00426794
AT1G04690	0.000451128	0.006670067	0.007713499	0.000379939
AT1G04700	0.000967742	-0.007157179	0.008677686	0.000838926
AT1G04710	0.002197802	-0.009003758	0.010284665	0.001876877
AT1G04730	0.000829082	-0.012750996	0.008999082	0.000717249
AT1G04750	0.001593407	-0.009854669	0.011570248	0.001373106
AT1G04760	0.052857143	0.009018287	0.04806103	0.04671003
AT1G04770	0.002006803	-0.003236289	0.009256198	0.002021656
AT1G04778	0	NA	NA	0.002859477
AT1G04780	0.000604396	-0.01415477	0.007713499	0.000516917
AT1G04790	0.00156015	-0.001909244	0.008815427	0.001457982
AT1G04800	0.002380952	-0.018752339	0.012855831	0.002072968
AT1G04810	0.000952381	-0.002785883	0.008815427	0.00083167
AT1G04820	0.000185185	-0.021096382	0.007713499	0.000161678
AT1G04830	0.001036866	-0.010225141	0.012855831	0.001486953
AT1G04840	0.000549451	-0.004436513	0.007713499	0.000469219
AT1G04850	0.000565476	-0.007213157	0.007713499	0.000493558
AT1G04860	0.001378446	-0.004333411	0.008484848	0.001192334
AT1G04870	0.001832298	-0.005362061	0.007713499	0.001600477
AT1G04880	0.001483516	-0.019689956	0.010798898	0.001258389
AT1G04890	0.002019704	-0.00304819	0.007713499	0.002502042
AT1G04895	0.004	-0.019451159	0.0192	0.002601626
AT1G04900	0.000192308	-0.021096382	0.007713499	0.000164597
AT1G04910	0.001958525	-0.001224594	0.008815427	0.001702724
AT1G04920	0.000623583	-0.009064254	0.007713499	0.000538962
AT1G04930	0.000238095	-0.021096382	0.007713499	0.000218969
AT1G04940	0.001302521	-0.006406058	0.011570248	0.001174242
AT1G04945	0.000695971	-0.011302832	0.010284665	0.000613695
AT1G04950	0.001176471	0.002227435	0.007713499	0.001193182
AT1G04960	0.011607143	0.011561928	0.028282828	0.010645964
AT1G04970	0.001428571	0.004448751	0.007713499	0.001235515
AT1G04980	0.001318681	-0.006657829	0.007713499	0.001116071
AT1G04985	0.000909091	-0.021096382	0.007713499	0.000751718
AT1G04990	0.00077381	-0.011840899	0.007713499	0.000668724
AT1G05000	0.003928571	-0.025607793	0.016969697	0.015055668
AT1G05005	0.003915344	-0.001371546	0.012244898	0.005308274
AT1G05010	0.003533835	-0.017728297	0.011570248	0.003022119
AT1G05020	0.003150183	-0.012247865	0.011866921	0.002739551
AT1G05030	0.008271889	0.011922305	0.01963436	0.007123016
AT1G05035	0.023469388	0.014560735	0.032782369	0.063640511
AT1G05040	0.015071429	-0.025138348	0.055922865	0.013910865
AT1G05055	0.0056	-0.010771582	0.011866921	0.006178915
AT1G05060	0.007111111	-0.022069623	0.018367347	0.006320638
AT1G05065	0.002857143	-0.022798203	0.010284665	0.004960317
AT1G05070	0.002467532	-0.007795035	0.010284665	0.00213964
AT1G05080	0.004761905	-0.013534603	0.011078717	0.004084775
AT1G05085	0.003163265	-0.006406058	0.011570248	0.003859562
AT1G05087	0.002872671	-0.00193997	0.023140496	0.008270744
AT1G05090	0.000487805	-0.022798203	0.010284665	0.000721947
AT1G05100	0.001607143	-0.009989802	0.007713499	0.001378676
AT1G05120	0.000851648	-0.009915165	0.008999082	0.00077438
AT1G05136	0	NA	NA	0
AT1G05140	0.002087912	-0.011905115	0.009917355	0.001791101
AT1G05150	0.004136905	0.001117976	0.012052342	0.003579522
AT1G05160	0.003719212	-0.000583129	0.00981718	0.003203496
AT1G05170	0.00125	-0.022117475	0.009256198	0.001429739
AT1G05180	0.000491071	0.001116777	0.007713499	0.000423598
AT1G05190	0.002362637	0.019627744	0.007713499	0.002697173
AT1G05200	0.003934837	0.004042641	0.014876033	0.003407118
AT1G05205	0	NA	NA	0
AT1G05210	0	NA	NA	0
AT1G05220	0.001785714	-0.004436513	0.007713499	0.001940994
AT1G05230	0.000249169	0.023329937	0.007713499	0.000216413
AT1G05240	0.009172932	0.010354662	0.018732782	0.008275818
AT1G05250	0.009172932	0.010354662	0.018732782	0.008275818
AT1G05260	0.00112782	0.023329937	0.007713499	0.000955657
AT1G05270	0.000974026	0.023329937	0.007713499	0.001316084
AT1G05280	0.003743842	-0.021557224	0.026997245	0.004562672
AT1G05290	0.00237013	-0.01074452	0.008815427	0.00205518
