molecule	gene	start	end	strand	direction	Class
LR699750.1	ATSHA-1G76880.1	23090843	23091875	forward	1	other
LR699750.1	ATSHA-1G76890.1	23094697	23097581	forward	1	other
LR699750.1	ATSHA-1G76900.1	23101869	23103222	forward	1	other
LR699750.1	ATSHA-1G76920.1	23110375	23107319	reverse	-1	other
LR699750.1	ATSHA-1G76930.1	23120850	23114674	reverse	-1	other
LR699750.1	ATSHA-1G76940.1	23127899	23127007	reverse	-1	other
LR699750.1	ATSHA-1G76950.1	23137181	23135104	reverse	-1	other
LR699750.1	ATSHA-1G76960.1	23138749	23139456	forward	1	other
LR699750.1	ATSHA-1G76970.1	23141254	23141998	forward	1	other
LR699750.1	ATSHA-1G76980.1	23143117	23143900	forward	1	other
LR699750.1	ATSHA-1G76990.1	23148110	23146783	reverse	-1	other
LR699750.1	ATSHA-1G77000.1	23156881	23154904	reverse	-1	other
LR699750.1	ATSHA-1G77010.1	23159565	23160012	forward	1	other
LR699750.1	ATSHA-1G77020.1	23160340	23163229	forward	1	other
LR699750.1	ATSHA-1G77030.1	23166176	23164504	reverse	-1	other
LR699750.1	ATSHA-1G77040.1	23168325	23170218	forward	1	siRNA-PPR
LR699750.1	ATSHA-1G77050.1	23172644	23174050	forward	1	other
LR699750.1	ATSHA-1G77060.1	23174573	23176463	forward	1	siRNA-PPR
LR699750.1	ATSHA-1G77070.1	23178943	23177239	reverse	-1	other
LR699750.1	ATSHA-1G77080.1	23180748	23182238	forward	1	other
LR699750.1	ATSHA-1G77090.1	23184554	23182726	reverse	-1	other
LR699750.1	ATSHA-1G77100.1	23187008	23188191	forward	1	other
LR699750.1	ATSHA-1G77110.1	23189542	23188818	reverse	-1	other
LR699750.1	ATSHA-1G77120.1	23192527	23191538	reverse	-1	other
LR699750.1	ATSHA-1G77130.1	23193490	23194525	forward	1	other
LR699750.1	ATSHA-1G77140.1	23197048	23201183	forward	1	other
LR699750.1	ATSHA-1G77150.1	23202844	23204044	forward	1	other
LR699750.1	ATSHA-1G77160.1	23204435	23205020	forward	1	other
LR699750.1	ATSHA-1G77170.1	23205031	23206050	forward	1	other
LR699750.1	ATSHA-1G77180.1	23212391	23210019	reverse	-1	other
LR699750.1	ATSHA-1G77190.1	23214563	23214320	reverse	-1	other
LR699750.1	ATSHA-1G77200.1	23219952	23216783	reverse	-1	other
LR699750.1	ATSHA-1G77210.1	23222447	23220475	reverse	-1	other
LR699750.1	ATSHA-1G77220.1	23223855	23223165	reverse	-1	other
LR699750.1	ATSHA-1G77230.1	23227083	23225592	reverse	-1	other
LR699750.1	ATSHA-1G77240.1	23228834	23227621	reverse	-1	other
LR699750.1	ATSHA-1G77250.1	23236182	23240057	forward	1	other
LR699750.1	ATSHA-1G77260.1	23241032	23240567	reverse	-1	other
LR699750.1	ATSHA-1G77270.1	23243519	23242871	reverse	-1	siRNA-PPR
LR699750.1	ATSHA-1G77280.1	23245841	23247581	forward	1	other
LR699750.1	ATSHA-1G77290.1	23250520	23248582	reverse	-1	other
LR699750.1	ATSHA-1G77300.1	23254400	23257342	forward	1	other
LR699750.1	ATSHA-1G77310.1	23261529	23265085	forward	1	other
LR699750.1	ATSHA-1G77320.1	23266289	23269744	forward	1	other
LR699750.1	ATSHA-1G77330.1	23271225	23273151	forward	1	other
LR699750.1	ATSHA-1G77340.1	23273751	23274960	forward	1	other
LR699750.1	ATSHA-1G77350.1	23277500	23275464	reverse	-1	other
LR699750.1	ATSHA-1G77360.1	23280312	23278504	reverse	-1	other
LR699750.1	ATSHA-1G77370.1	23291534	23283491	reverse	-1	other
LR699750.1	ATSHA-1G77380.1	23294562	23296959	forward	1	other
LR699750.1	ATSHA-1G77400.1	23298796	23300468	forward	1	other
LR699750.1	ATSHA-1G77410.1	23301155	23300825	reverse	-1	other
LR699750.1	ATSHA-1G77420.1	23307126	23308715	forward	1	other
LR699750.1	ATSHA-1G77430.1	23310662	23312663	forward	1	other
LR699750.1	ATSHA-1G77440.1	23313026	23314052	forward	1	other
LR699750.1	ATSHA-1G77450.1	23316681	23317796	forward	1	other
LR699750.1	ATSHA-1G77460.1	23318566	23319488	forward	1	other
LR699750.1	ATSHA-1G77470.1	23321161	23321968	forward	1	other
LR699750.1	ATSHA-1G77480.1	23323083	23324095	forward	1	other
LR699750.1	ATSHA-1G77490.1	23326856	23324946	reverse	-1	other
LR699750.1	ATSHA-1G77500.1	23328532	23329503	forward	1	siRNA-PPR
