	ATCT-1G63230.1-1665	ATCol-1G63230.1-1813	ATAN-1G80540.1-1058	ATERI-1G74470.1-1058	ATLER-1G76330.1-1058	ATERI-1G74910.1-1133	ATKYO-1G76010.1-971	ATSHA-1G77500.1-971	ATCT-1G63630.1-923	ATCVI-1G77320.1-971	ATAN-1G80900.1-971	ATCol-1G63630.1-1355	ATCVI-5G26760.1-1515	ATLER-5G26670.1-1515	ATAN-5G26670.1-1515	ATSHA-5G26670.1-1515	ATCol-5G16640.1-2097	ATCT-5G16640.1-2042	ATERI-5G26820.1-1515	ATKYO-5G26600.1-1515	ATAN-1G80660.1-1911	ATCol-1G63400.1-2307	ATERI-1G74680.1-1734	ATLER-1G76540.1-1734	ATCT-1G63400.1-1734	ATAN-1G79760.1-1905	ATKYO-1G74810.1-1905	ATERI-1G73710.1-1905	ATLER-1G75520.1-1902	ATAN-1G79840.1-1905	ATKYO-1G74890.1-1905	ATSHA-1G76458.1-1905	ATCol-1G62590.1-2319	ATCT-1G62590.1-2319	ATCVI-1G76200.1-1905	ATCol-1G63330.1-1715	ATCT-1G63330.1-1914	ATCol-1G62914.1-1848	ATCT-1G62914.1-1575	ATCVI-1G76530.1-1728	ATAN-1G80130.1-1734	ATLER-1G75870.1-1728	ATERI-1G74040.1-1728	ATKYO-1G75190.1-1728	ATSHA-1G76760.1-1728	ATCol-1G62910.1-2194	ATCT-1G62910.1-1902	ATCT-1G62670.1-1895	ATCol-1G62670.1-2567	ATSHA-1G76490.1-1893	ATCVI-1G76280.1-1893	ATLER-1G75600.1-1893	ATSHA-1G76750.1-1890	ATAN-1G79890.1-1893	ATKYO-1G74940.1-1893	ATERI-1G74030.1-1893	ATAN-1G80440.1-1890	ATERI-1G74360.1-1890	ATLER-1G76220.1-1890	ATKYO-1G75560.1-1890	ATSHA-1G77060.1-1890	ATCol-1G63150.1-2421	ATCT-1G63150.1-2184	ATSHA-1G76790.1-1890	ATLER-1G75900.1-1890	ATKYO-1G75220.1-1890	ATERI-1G74070.1-1890	ATCT-1G62930.1-2151	ATAN-1G80160.1-1890	ATCol-1G62930.1-2153	ATCT-1G63320.1-792	ATCol-1G63320.1-695	ATKYO-1G75770.1-648	ATAN-1G80650.1-648	ATERI-1G74580.1-648	ATLER-1G76440.1-648	ATSHA-1G77270.1-648	ATCVI-1G77080.1-1884	ATERI-1G74340.1-1893	ATCVI-1G76860.1-1893	ATKYO-1G75540.1-1893	ATLER-1G76200.1-1893	ATSHA-1G77040.1-1893	ATCT-1G63130.1-2223	ATAN-1G80420.1-1893	ATCol-1G63130.1-2638	ATCol-1G63070.1-1844	ATCT-1G63070.1-1858	ATCVI-1G76790.1-1845	ATERI-1G74270.1-1844	ATAN-1G80360.1-1845	ATKYO-1G75480.1-1845	ATLER-1G76140.1-1845	ATCol-1G63080.1-3243	ATCT-1G63080.1-3186
ATAN-1G80900.1-971	86.475	85.963	86.168	86.066	86.066	96.311	98.249	98.249	98.592	99.588		99.691	54.865	54.965	55.165	55.165	55.065	55.065	55.065	55.165	60.579	59.581	59.581	59.581	59.681	60.579	60.579	60.579	60.479	59.98	59.98	59.88	59.681	59.731	59.481	59.381	59.381	62.239	62.239	59.281	58.982	58.982	59.082	59.082	58.982	60.18	60.18	59.83	59.88	59.88	59.88	59.88	59.481	60.479	60.479	60.679	59.98	59.78	59.78	59.78	59.78	59.78	59.581	60.18	59.98	60.978	60.878	60.978	60.978	60.978	51.962	53.265	51.357	51.584	51.584	51.584	51.584	60.379	60.778	60.579	60.579	60.579	60.579	60.479	60.778	60.479	57.371	56.791	58.882	58.882	59.281	59.281	59.281	59.481	59.481
ATCol-1G63630.1-1355	83.522	82.051	85.437	85.349	85.349	96.646	98.146	98.146	98.483	99.485	99.691		46.772	46.85	47.087	47.087	43.622	43.622	46.929	47.008	55.829	55.056	58.412	58.412	58.491	55.829	55.829	55.829	55.758	55.337	55.337	55.267	55.197	55.232	55.056	54.986	54.986	61.518	61.518	57.964	57.731	57.731	57.809	57.809	57.731	55.899	55.899	55.583	55.618	55.618	55.407	55.478	55.478	56.11	56.11	55.969	55.688	55.548	55.548	55.548	55.548	55.548	55.407	55.758	55.407	56.18	56.039	56.074	56.18	56.18	47.025	47.12	45.469	45.628	45.628	45.628	45.628	56.25	56.18	55.969	56.11	56.11	56.18	56.18	56.25	56.039	53.647	53.547	54.494	54.565	55.197	55.197	55.197	55.337	55.267
ATCVI-5G26760.1-1515	45.375	45.253	45.946	45.859	45.859	48.318	55.065	55.065	57.85	54.764	54.865	46.772		99.868	99.01	99.01	98.878	98.878	98.878	98.812	60.957	60.15	60.196	60.196	60.37	60.208	60.208	60.15	60.035	60.092	60.092	60.035	60.092	60.15	59.919	61.28	59.689	59.589	59.029	60.323	60.323	60.208	60.381	60.381	60.265	60.554	60.525	60.121	60.323	60.438	60.438	60.554	60.208	60.035	60.035	60.496	59.631	59.516	59.516	59.573	59.573	59.4	59.631	58.997	59.227	58.824	58.997	58.679	58.766	58.824	68.51	72.538	72.917	73.125	73.125	73.125	73.125	61.085	60.912	61.547	61.49	61.49	61.49	61.288	61.49	61.259	56.92	56.386	58.989	59.048	59.636	59.518	59.518	58.824	58.824
ATLER-5G26670.1-1515	45.317	45.195	45.946	45.859	45.859	48.404	55.165	55.165	57.956	54.865	54.965	46.85	99.868		99.01	99.01	98.878	98.878	98.878	98.812	61.073	60.265	60.312	60.312	60.485	60.265	60.265	60.208	60.092	60.15	60.15	60.092	60.15	60.208	59.977	61.28	59.746	59.714	59.153	60.438	60.438	60.323	60.496	60.496	60.381	60.669	60.64	60.236	60.438	60.554	60.554	60.669	60.323	60.15	60.15	60.611	59.746	59.631	59.631	59.689	59.689	59.516	59.746	59.054	59.285	58.881	59.054	58.737	58.824	58.881	68.51	72.538	72.917	73.125	73.125	73.125	73.125	61.201	60.912	61.547	61.49	61.49	61.49	61.288	61.49	61.259	56.978	56.443	59.048	59.107	59.694	59.577	59.577	58.881	58.881
ATAN-5G26670.1-1515	45.433	45.253	46.033	45.946	45.946	48.576	55.366	55.366	58.166	55.065	55.165	47.087	99.01	99.01		100	99.604	99.604	99.604	99.538	60.727	59.919	59.965	59.965	60.139	59.919	59.919	59.862	59.746	59.804	59.804	59.746	59.804	59.862	59.631	60.957	59.4	59.34	58.78	60.035	60.035	59.919	60.092	60.092	59.977	60.208	60.179	59.89	60.092	60.208	60.208	60.323	59.862	59.746	59.746	60.15	59.4	59.285	59.285	59.343	59.343	59.17	59.4	58.708	58.939	58.535	58.708	58.391	58.478	58.535	68.029	71.97	72.292	72.5	72.5	72.5	72.5	60.912	60.624	61.201	61.143	61.143	61.143	60.941	61.143	60.912	56.632	56.1	58.696	58.754	59.401	59.283	59.283	58.593	58.593
ATSHA-5G26670.1-1515	45.433	45.253	46.033	45.946	45.946	48.576	55.366	55.366	58.166	55.065	55.165	47.087	99.01	99.01	100		99.604	99.604	99.604	99.538	60.727	59.919	59.965	59.965	60.139	59.919	59.919	59.862	59.746	59.804	59.804	59.746	59.804	59.862	59.631	60.957	59.4	59.34	58.78	60.035	60.035	59.919	60.092	60.092	59.977	60.208	60.179	59.89	60.092	60.208	60.208	60.323	59.862	59.746	59.746	60.15	59.4	59.285	59.285	59.343	59.343	59.17	59.4	58.708	58.939	58.535	58.708	58.391	58.478	58.535	68.029	71.97	72.292	72.5	72.5	72.5	72.5	60.912	60.624	61.201	61.143	61.143	61.143	60.941	61.143	60.912	56.632	56.1	58.696	58.754	59.401	59.283	59.283	58.593	58.593
ATCol-5G16640.1-2097	43.516	42.229	45.946	45.859	45.859	48.49	55.266	55.266	58.061	54.965	55.065	43.622	98.878	98.878	99.604	99.604		100	100	99.934	58.034	50.274	59.703	59.703	59.874	57.618	57.618	57.566	57.462	57.566	57.566	57.514	51.429	51.471	57.358	58.659	56.774	56.489	58.685	59.646	59.67	59.532	59.703	59.703	59.589	54.026	58.003	57.817	52.154	58.059	58.059	58.164	57.903	57.642	57.642	58.164	57.173	57.068	57.068	57.121	57.121	52.159	53.557	56.247	56.506	56.091	56.299	52.767	56.091	52.83	61.174	63.362	62.809	62.963	62.963	62.963	62.963	58.503	58.216	58.685	58.633	58.633	58.633	54.366	58.633	53.373	54.995	54.258	56.952	57.005	57.487	57.38	57.38	51.672	51.672
ATCT-5G16640.1-2042	43.516	42.409	45.946	45.859	45.859	48.49	55.266	55.266	58.061	54.965	55.065	43.622	98.878	98.878	99.604	99.604	100		100	99.934	58.034	50.91	59.703	59.703	59.874	57.618	57.618	57.566	57.462	57.566	57.566	57.514	51.667	51.711	57.358	58.659	56.774	58.158	58.685	59.646	59.67	59.532	59.703	59.703	59.589	54.545	58.003	57.817	52.731	58.059	58.059	58.164	57.903	57.642	57.642	58.164	57.173	57.068	57.068	57.121	57.121	52.817	53.557	56.247	56.506	56.091	56.299	52.767	56.091	52.83	61.174	63.362	62.809	62.963	62.963	62.963	62.963	58.503	58.216	58.685	58.633	58.633	58.633	55.053	58.633	53.99	54.995	54.258	56.952	57.005	57.487	57.38	57.38	51.702	51.702
ATERI-5G26820.1-1515	45.433	45.253	45.946	45.859	45.859	48.49	55.266	55.266	58.061	54.965	55.065	46.929	98.878	98.878	99.604	99.604	100	100		99.934	60.669	60.035	60.081	60.081	60.254	60.035	60.035	59.977	59.862	59.919	59.919	59.862	59.919	59.977	59.746	61.086	59.516	59.465	58.904	60.208	60.208	60.092	60.265	60.265	60.15	60.265	60.236	59.89	60.092	60.208	60.208	60.323	60.035	59.746	59.746	60.323	59.4	59.285	59.285	59.343	59.343	59.17	59.4	58.881	59.112	58.708	58.881	58.564	58.651	58.593	67.869	71.78	72.083	72.292	72.292	72.292	72.292	60.97	60.681	61.201	61.143	61.143	61.143	60.941	61.143	60.912	56.69	56.157	58.872	58.931	59.518	59.401	59.401	58.708	58.708
ATKYO-5G26600.1-1515	45.492	45.312	46.033	45.946	45.946	48.576	55.366	55.366	58.166	55.065	55.165	47.008	98.812	98.812	99.538	99.538	99.934	99.934	99.934		60.727	60.092	60.139	60.139	60.312	60.092	60.092	60.035	59.919	59.977	59.977	59.919	59.977	60.035	59.804	61.151	59.573	59.527	58.966	60.265	60.265	60.15	60.323	60.323	60.208	60.323	60.294	59.948	60.15	60.265	60.265	60.381	60.092	59.804	59.804	60.381	59.458	59.343	59.343	59.4	59.4	59.227	59.458	58.939	59.17	58.766	58.939	58.622	58.708	58.651	67.869	71.78	72.083	72.292	72.292	72.292	72.292	61.028	60.739	61.259	61.201	61.201	61.201	60.999	61.201	60.97	56.747	56.214	58.931	58.989	59.577	59.459	59.459	58.766	58.766
ATAN-1G80660.1-1911	52.291	52.185	57.722	57.636	57.636	61.432	61.277	61.277	60.485	60.379	60.579	55.829	60.957	61.073	60.727	60.727	58.034	58.034	60.669	60.727		91.784	91.034	91.034	90.805	85.243	85.243	85.243	85.086	85.296	85.296	85.034	85.348	85.243	85.243	86.472	87.023	85.387	85.188	85.575	84.822	85.172	85.345	85.345	85.345	89.744	89.9	83.665	83.726	83.99	84.304	84.199	86.772	84.514	84.514	85.302	86.715	86.611	86.611	86.663	86.663	86.288	86.58	84.054	84.054	83.742	84.106	84.002	84.211	84.263	85.038	88.793	88.58	88.735	88.735	88.735	88.735	84.293	84.551	85.073	85.23	85.23	85.282	85.302	85.021	85.068	80.569	79.409	80.557	80.343	83.128	83.074	83.074	81.634	81.53
ATCol-1G63400.1-2307	52.561	50.943	57.808	57.722	57.722	61.432	60.579	60.579	59.431	59.481	59.581	55.056	60.15	60.265	59.919	59.919	50.274	50.91	60.035	60.092	91.784		100	100	99.769	90.919	90.919	90.919	90.761	90.446	90.446	90.184	82.958	82.781	90.723	90.554	88.542	83.21	87.5	86.034	86.942	87.299	87.471	87.471	87.241	78.859	88.064	83.438	73.794	83.815	83.973	83.973	88.316	84.551	84.551	85.864	82.584	82.479	82.479	82.531	82.531	71.094	74.921	83.654	84.123	84.279	84.435	78.806	84.591	78.713	84.785	88.506	88.272	88.426	88.426	88.426	88.426	84.66	84.603	85.125	85.177	85.177	85.125	76.563	85.125	72.582	79.884	78.885	80.986	80.664	83.717	83.717	83.717	72	71.914
ATERI-1G74680.1-1734	54.269	53.512	57.808	57.722	57.722	61.432	60.579	60.579	59.431	59.481	59.581	58.412	60.196	60.312	59.965	59.965	59.703	59.703	60.081	60.139	91.034	100		100	99.769	91.638	91.638	91.638	91.465	91.119	91.119	90.83	91.077	90.846	91.422	91.321	89.08	87.616	87.5	86.435	87.348	87.71	87.884	87.884	87.652	88.391	88.501	83.42	83.602	83.834	83.891	83.891	88.78	84.642	84.642	86.085	82.769	82.654	82.654	82.711	82.711	82.656	82.97	82.78	83.295	83.467	83.638	83.724	83.81	83.696	84.783	89.905	89.518	89.727	89.727	89.727	89.727	84.646	84.585	85.1	85.158	85.158	85.1	85.237	85.1	85.151	79.456	78.477	80.778	80.425	83.785	83.785	83.785	83.21	83.095
ATLER-1G76540.1-1734	54.269	53.512	57.808	57.722	57.722	61.432	60.579	60.579	59.431	59.481	59.581	58.412	60.196	60.312	59.965	59.965	59.703	59.703	60.081	60.139	91.034	100	100		99.769	91.638	91.638	91.638	91.465	91.119	91.119	90.83	91.077	90.846	91.422	91.321	89.08	87.616	87.5	86.435	87.348	87.71	87.884	87.884	87.652	88.391	88.501	83.42	83.602	83.834	83.891	83.891	88.78	84.642	84.642	86.085	82.769	82.654	82.654	82.711	82.711	82.656	82.97	82.78	83.295	83.467	83.638	83.724	83.81	83.696	84.783	89.905	89.518	89.727	89.727	89.727	89.727	84.646	84.585	85.1	85.158	85.158	85.1	85.237	85.1	85.151	79.456	78.477	80.778	80.425	83.785	83.785	83.785	83.21	83.095
ATCT-1G63400.1-1734	54.269	53.512	57.808	57.722	57.722	61.519	60.679	60.679	59.431	59.581	59.681	58.491	60.37	60.485	60.139	60.139	59.874	59.874	60.254	60.312	90.805	99.769	99.769	99.769		91.638	91.638	91.638	91.465	91.234	91.234	90.946	91.077	90.846	91.422	91.321	89.08	87.616	87.5	86.377	87.291	87.652	87.826	87.826	87.594	88.333	88.444	83.247	83.429	83.661	83.718	83.718	88.606	84.7	84.7	86.028	82.769	82.654	82.654	82.711	82.711	82.656	82.97	82.723	83.238	83.41	83.581	83.667	83.753	83.638	84.622	89.905	89.518	89.727	89.727	89.727	89.727	84.531	84.585	85.215	85.272	85.272	85.215	85.18	85.215	85.094	79.282	78.362	80.719	80.366	83.844	83.844	83.844	83.267	83.152
ATAN-1G79760.1-1905	52.615	52.289	57.895	57.808	57.808	61.432	61.277	61.277	60.59	60.379	60.579	55.829	60.208	60.265	59.919	59.919	57.618	57.618	60.035	60.092	85.243	90.919	91.638	91.638	91.638		100	99.79	99.633	96.85	96.85	96.798	97.327	97.17	97.484	98.076	95.343	82.415	82.25	82.241	81.901	82.241	82.184	82.184	81.954	85.034	85.126	82.231	82.399	82.606	82.764	82.764	84.158	82.606	82.606	83.762	83.002	82.897	82.897	82.95	82.95	82.899	82.872	80.719	80.615	81.084	81.188	81.032	81.188	81.084	82.386	86.925	87.037	87.191	87.191	87.191	87.191	82.408	82.829	83.194	83.142	83.142	83.09	83.325	83.142	83.247	79.884	78.938	81.253	80.932	82.057	82.057	82.057	80.957	80.957
ATKYO-1G74810.1-1905	52.615	52.289	57.895	57.808	57.808	61.432	61.277	61.277	60.59	60.379	60.579	55.829	60.208	60.265	59.919	59.919	57.618	57.618	60.035	60.092	85.243	90.919	91.638	91.638	91.638	100		99.79	99.633	96.85	96.85	96.798	97.327	97.17	97.484	98.076	95.343	82.415	82.25	82.241	81.901	82.241	82.184	82.184	81.954	85.034	85.126	82.231	82.399	82.606	82.764	82.764	84.158	82.606	82.606	83.762	83.002	82.897	82.897	82.95	82.95	82.899	82.872	80.719	80.615	81.084	81.188	81.032	81.188	81.084	82.386	86.925	87.037	87.191	87.191	87.191	87.191	82.408	82.829	83.194	83.142	83.142	83.09	83.325	83.142	83.247	79.884	78.938	81.253	80.932	82.057	82.057	82.057	80.957	80.957
ATERI-1G73710.1-1905	52.615	52.289	57.895	57.808	57.808	61.432	61.277	61.277	60.59	60.379	60.579	55.829	60.15	60.208	59.862	59.862	57.566	57.566	59.977	60.035	85.243	90.919	91.638	91.638	91.638	99.79	99.79		99.633	96.955	96.955	96.903	97.327	97.17	97.484	98.076	95.343	82.353	82.188	82.184	81.844	82.184	82.126	82.126	81.897	85.034	85.126	82.231	82.399	82.606	82.764	82.764	84.158	82.606	82.606	83.762	83.002	82.897	82.897	82.95	82.95	82.899	82.872	80.719	80.615	81.084	81.188	81.032	81.188	81.084	82.386	86.925	87.037	87.191	87.191	87.191	87.191	82.356	82.829	83.194	83.142	83.142	83.09	83.325	83.142	83.247	79.884	78.938	81.253	80.932	82.057	82.057	82.057	80.957	80.957
